snapshot_id,product_id,date_id,warehouse_id,snapshot_date,opening_stock,closing_stock,avg_stock_value,stock_age_days,is_dead_stock,holding_cost
INV-2024-00001,PRD-001,2024-01-31,WH-01,2024-01-31,1630,1651,73800.0,19.0,0,1476.0
INV-2024-00002,PRD-001,2024-02-29,WH-01,2024-02-29,1651,1621,73620.0,56.0,0,1472.4
INV-2024-00003,PRD-001,2024-03-31,WH-01,2024-03-31,1621,1673,74115.0,19.0,0,1482.3
INV-2024-00004,PRD-001,2024-04-30,WH-01,2024-04-30,1673,1744,86943.95,19.0,0,1738.88
INV-2024-00005,PRD-001,2024-05-31,WH-01,2024-05-31,1744,1768,94179.97,19.0,0,1883.6
INV-2024-00006,PRD-001,2024-06-30,WH-01,2024-06-30,1768,1834,98892.97,19.0,0,1977.86
INV-2024-00007,PRD-001,2024-07-31,WH-01,2024-07-31,1834,1914,84330.0,19.0,0,1686.6
INV-2024-00008,PRD-001,2024-08-31,WH-01,2024-08-31,1914,2013,88380.0,19.0,0,1767.6
INV-2024-00009,PRD-001,2024-09-30,WH-01,2024-09-30,2013,1234,90630.0,19.0,0,1812.6
INV-2024-00010,PRD-001,2024-10-31,WH-01,2024-10-31,2015,1966,89550.0,19.0,0,1791.0
INV-2024-00011,PRD-001,2024-11-30,WH-01,2024-11-30,1966,2003,89280.0,19.0,0,1785.6
INV-2024-00012,PRD-001,2024-12-31,WH-01,2024-12-31,2003,1990,85636.975,19.0,0,1796.4
INV-2024-00013,PRD-001,2024-01-31,WH-02,2024-01-31,876,883,47520.0,150.0,1,950.4
INV-2024-00014,PRD-001,2024-02-29,WH-02,2024-02-29,883,854,85636.975,150.0,1,937.44
INV-2024-00015,PRD-001,2024-03-31,WH-02,2024-03-31,854,892,47142.0,150.0,1,942.84
INV-2024-00016,PRD-001,2024-04-30,WH-02,2024-04-30,892,890,57975.2,150.0,1,1159.5
INV-2024-00017,PRD-001,2024-05-31,WH-02,2024-05-31,890,854,56091.88,150.0,1,1121.84
INV-2024-00018,PRD-001,2024-06-30,WH-02,2024-06-30,854,854,54255.12,150.0,1,1085.1
INV-2024-00019,PRD-001,2024-07-31,WH-02,2024-07-31,854,867,46440.0,150.0,1,928.8
INV-2024-00020,PRD-001,2024-08-31,WH-02,2024-08-31,867,947,48978.0,150.0,1,979.56
INV-2024-00021,PRD-001,2024-09-30,WH-02,2024-09-30,947,947,51138.0,150.0,1,1022.76
INV-2024-00022,PRD-001,2024-10-31,WH-02,2024-10-31,947,1031,53406.0,150.0,1,1068.12
INV-2024-00023,PRD-001,2024-11-30,WH-02,2024-11-30,1031,1001,54864.0,150.0,1,1097.28
INV-2024-00024,PRD-001,2024-12-31,WH-02,2024-12-31,1001,1023,54648.0,56.0,1,1092.96
INV-2024-00025,PRD-001,2024-01-31,WH-03,2024-01-31,1300,1309,82152.0,94.0,1,1643.04
INV-2024-00026,PRD-001,2024-02-29,WH-03,2024-02-29,1309,1272,81270.0,94.0,1,1625.4
INV-2024-00027,PRD-001,2024-03-31,WH-03,2024-03-31,1272,1230,78813.0,94.0,1,1576.26
INV-2024-00028,PRD-001,2024-04-30,WH-03,2024-04-30,1230,1269,88163.34,56.0,1,1763.27
INV-2024-00029,PRD-001,2024-05-31,WH-03,2024-05-31,1269,1302,93025.28,94.0,1,1860.51
INV-2024-00030,PRD-001,2024-06-30,WH-03,2024-06-30,1302,1259,89258.62,94.0,1,1785.17
INV-2024-00031,PRD-001,2024-07-31,WH-03,2024-07-31,1259,1289,80262.0,94.0,1,1605.24
INV-2024-00032,PRD-001,2024-08-31,WH-03,2024-08-31,1289,1288,81144.0,94.0,1,1622.88
INV-2024-00033,PRD-001,2024-09-30,WH-03,2024-09-30,1288,1341,82782.0,94.0,1,1655.64
INV-2024-00034,PRD-001,2024-10-31,WH-03,2024-10-31,1341,1422,87066.0,94.0,1,1741.32
INV-2024-00035,PRD-001,2024-11-30,WH-03,2024-11-30,1422,1373,88074.0,94.0,1,1761.48
INV-2024-00036,PRD-001,2024-12-31,WH-03,2024-12-31,1373,1456,85636.975,94.0,1,1781.64
INV-2024-00037,PRD-001,2024-01-31,WH-04,2024-01-31,2350,2445,183447.0,8.0,0,3668.94
INV-2024-00038,PRD-001,2024-02-29,WH-04,2024-02-29,2445,2438,186813.0,8.0,0,3736.26
INV-2024-00039,PRD-001,2024-03-31,WH-04,2024-03-31,2438,2401,185130.0,8.0,0,3702.6
INV-2024-00040,PRD-001,2024-04-30,WH-04,2024-04-30,2401,2445,85636.975,8.0,0,4761.42
INV-2024-00041,PRD-001,2024-05-31,WH-04,2024-05-31,2445,2434,236854.14,8.0,0,4737.08
INV-2024-00042,PRD-001,2024-06-30,WH-04,2024-06-30,2434,2465,226397.86,8.0,0,4527.96
INV-2024-00043,PRD-001,2024-07-31,WH-04,2024-07-31,2465,2438,187578.0,8.0,0,3751.56
INV-2024-00044,PRD-001,2024-08-31,WH-04,2024-08-31,2438,2511,85636.975,8.0,0,1712.74
INV-2024-00045,PRD-001,2024-09-30,WH-04,2024-09-30,2511,2501,191709.0,8.0,0,3834.18
INV-2024-00046,PRD-001,2024-10-31,WH-04,2024-10-31,2501,2465,189949.5,8.0,0,3798.99
INV-2024-00047,PRD-001,2024-11-30,WH-04,2024-11-30,2465,2459,85636.975,8.0,0,3766.86
INV-2024-00048,PRD-001,2024-12-31,WH-04,2024-12-31,2459,2473,188649.0,8.0,0,3772.98
INV-2024-00049,PRD-002,2024-01-31,WH-01,2024-01-31,643,721,245714.375,99.0,1,1636.8
