po_id,supplier_id,product_id,order_date,date_id,quantity_ordered,standard_unit_price,actual_unit_price,order_type,delivery_date,po_status
PO-2024-0001,SUP-010,PRD-026,2024-09-30,2024-09-30,278,38.0,39.09,Regular,2024-10-06,Completed
PO-2024-0002,SUP-011,PRD-025,2024-10-27,2024-10-27,394,28.0,34.13,Regular,2024-11-24,Completed
PO-2024-0003,SUP-004,PRD-011,2024-06-27,2024-06-27,401,85.0,86.55,Regular,2024-07-07,Completed
PO-2024-0004,SUP-009,PRD-015,2024-02-21,2024-02-21,344,155.0,182.11,Emergency,2024-03-04,Completed
PO-2024-0005,SUP-008,PRD-013,2024-12-17,2024-12-17,357,75.0,75.0,Regular,2025-01-15,Completed
PO-2024-0006,SUP-014,PRD-019,2024-08-14,2024-08-14,148,80.0,83.07,Regular,2024-08-23,Completed
PO-2024-0007,SUP-015,PRD-018,2024-01-06,2024-01-06,429,120.0,117.71,Regular,2024-02-03,Completed
PO-2024-0008,SUP-010,PRD-027,2024-01-20,2024-01-20,313,55.0,55.99,Regular,2024-01-23,Pending
PO-2024-0009,SUP-008,PRD-023,2024-11-14,2024-11-14,141,25.0,27.68,Regular,2024-12-09,Completed
PO-2024-0010,SUP-008,PRD-006,2024-04-09,2024-04-09,229,110.0,134.2,Rush,2024-05-03,Completed
PO-2024-0011,SUP-006,PRD-020,2024-04-14,2024-04-14,245,95.0,97.05,Regular,2024-04-27,Pending
PO-2024-0012,SUP-011,PRD-027,2024-03-09,2024-03-09,445,55.0,64.52,Regular,2024-04-08,Completed
PO-2024-0013,SUP-008,PRD-004,2024-10-27,2024-10-27,341,65.0,77.54,Rush,2024-11-22,Completed
PO-2024-0014,SUP-001,PRD-018,2024-05-22,2024-05-22,50,120.0,121.51,Regular,2024-06-02,Pending
PO-2024-0015,SUP-001,PRD-010,2024-10-15,2024-10-15,114,130.0,131.25,Regular,2024-10-25,Completed
PO-2024-0016,SUP-004,PRD-015,2024-11-01,2024-11-01,498,155.0,157.03,Regular,2024-11-10,Completed
PO-2024-0017,SUP-014,PRD-003,2024-04-20,2024-04-20,200,95.0,93.83,Regular,2024-04-24,Completed
PO-2024-0018,SUP-006,PRD-015,2024-09-13,2024-09-13,404,155.0,153.62,Regular,2024-09-20,Completed
PO-2024-0019,SUP-011,PRD-008,2024-04-20,2024-04-20,160,210.0,252.33,Regular,2024-05-21,Completed
PO-2024-0020,SUP-011,PRD-027,2024-01-26,2024-01-26,222,55.0,55.0,Regular,2024-02-25,Completed
PO-2024-0021,SUP-002,PRD-004,2024-11-29,2024-11-29,425,65.0,77.98,Emergency,2024-12-11,Completed
PO-2024-0022,SUP-002,PRD-017,2024-05-13,2024-05-13,440,105.0,107.5,Regular,2024-05-23,Completed
PO-2024-0023,SUP-002,PRD-011,2024-05-27,2024-05-27,303,85.0,87.93,Regular,2024-06-06,Completed
PO-2024-0024,SUP-005,PRD-002,2024-11-08,2024-11-08,203,120.0,120.4,Regular,2024-11-16,Completed
PO-2024-0025,SUP-009,PRD-010,2024-10-11,2024-10-11,478,130.0,130.35,Regular,2024-10-20,Completed
PO-2024-0026,SUP-004,PRD-004,2024-10-17,2024-10-17,337,65.0,67.04,Regular,2024-10-28,Completed
PO-2024-0027,SUP-011,PRD-017,2024-02-28,2024-02-28,264,105.0,105.0,Regular,2024-04-01,Completed
PO-2024-0028,SUP-010,PRD-015,2024-11-04,2024-11-04,443,155.0,159.12,Regular,2024-11-13,Completed
PO-2024-0029,SUP-008,PRD-026,2024-04-13,2024-04-13,74,38.0,41.13,Regular,2024-05-07,Completed
PO-2024-0030,SUP-013,PRD-004,2024-05-16,2024-05-16,225,65.0,64.65,Regular,2024-05-28,Completed
PO-2024-0031,SUP-009,PRD-019,2024-01-29,2024-01-29,367,80.0,80.0,Emergency,2024-02-12,Completed
PO-2024-0032,SUP-013,PRD-024,2024-02-21,2024-02-21,108,40.0,40.24,Regular,2024-03-05,Completed
PO-2024-0033,SUP-006,PRD-012,2024-08-13,2024-08-13,219,55.0,56.57,Regular,2024-08-23,Completed
PO-2024-0034,SUP-003,PRD-016,2024-11-09,2024-11-09,80,90.0,114.84,Rush,2024-11-28,Completed
PO-2024-0035,SUP-009,PRD-021,2024-01-22,2024-01-22,169,35.0,34.4,Regular,2024-02-01,Cancelled
PO-2024-0036,SUP-010,PRD-022,2024-09-13,2024-09-13,429,30.0,30.57,Regular,2024-09-17,Completed
PO-2024-0037,SUP-010,PRD-026,2024-12-03,2024-12-03,144,38.0,38.72,Regular,2024-12-11,Completed
PO-2024-0038,SUP-005,PRD-030,2024-10-31,2024-10-31,366,185.0,188.38,Regular,2024-11-06,Pending
PO-2024-0039,SUP-014,PRD-001,2024-05-29,2024-05-29,401,45.0,45.56,Regular,2024-06-06,Completed
PO-2024-0040,SUP-014,PRD-013,2024-10-08,2024-10-08,289,75.0,76.21,Regular,2024-10-15,Completed
PO-2024-0041,SUP-003,PRD-026,2024-10-10,2024-10-10,156,38.0,44.24,Regular,2024-10-29,Completed
PO-2024-0042,SUP-003,PRD-024,2024-08-21,2024-08-21,424,40.0,45.19,Regular,2024-09-12,Completed
PO-2024-0043,SUP-010,PRD-013,2024-06-07,2024-06-07,373,75.0,76.2,Regular,2024-06-10,Pending
PO-2024-0044,SUP-012,PRD-013,2024-05-12,2024-05-12,353,75.0,76.11,Regular,2024-05-18,Completed
PO-2024-0045,SUP-014,PRD-007,2024-03-14,2024-03-14,446,135.0,133.8,Regular,2024-03-24,Completed
PO-2024-0046,SUP-003,PRD-024,2024-08-29,2024-08-29,224,40.0,45.36,Regular,2024-09-21,Completed
PO-2024-0047,SUP-011,PRD-020,2024-09-25,2024-09-25,365,95.0,109.7,Regular,2024-10-23,Completed
PO-2024-0048,SUP-001,PRD-018,2024-04-24,2024-04-24,54,120.0,121.77,Regular,2024-05-04,Completed
PO-2024-0049,SUP-003,PRD-005,2024-02-11,2024-02-11,131,180.0,232.45,Rush,2024-03-06,Completed
PO-2024-0050,SUP-001,PRD-007,2024-01-12,2024-01-12,190,135.0,137.53,Regular,2024-01-20,Completed
PO-2024-0051,SUP-014,PRD-021,2024-04-25,2024-04-25,111,35.0,35.67,Regular,2024-05-05,Completed
PO-2024-0052,SUP-009,PRD-012,2024-03-22,2024-03-22,282,55.0,55.93,Regular,2024-04-02,Completed
PO-2024-0053,SUP-006,PRD-004,2024-01-17,2024-01-17,197,65.0,65.0,Regular,2024-01-28,Completed
PO-2024-0054,SUP-001,PRD-011,2024-10-14,2024-10-14,275,85.0,95.16,Rush,2024-10-24,Pending
PO-2024-0055,SUP-005,PRD-020,2024-07-31,2024-07-31,485,95.0,97.16,Regular,2024-08-10,Completed
PO-2024-0056,SUP-004,PRD-019,2024-03-26,2024-03-26,139,80.0,82.43,Regular,2024-04-02,Completed
PO-2024-0057,SUP-008,PRD-017,2024-09-10,2024-09-10,207,105.0,116.58,Regular,2024-10-04,Completed
PO-2024-0058,SUP-011,PRD-010,2024-04-16,2024-04-16,399,130.0,157.07,Regular,2024-05-14,Completed
PO-2024-0059,SUP-009,PRD-021,2024-08-07,2024-08-07,169,35.0,36.35,Regular,2024-08-21,Completed
PO-2024-0060,SUP-005,PRD-025,2024-12-06,2024-12-06,494,28.0,27.85,Regular,2024-12-13,Completed
PO-2024-0061,SUP-003,PRD-018,2024-11-14,2024-11-14,497,120.0,136.85,Regular,2024-12-03,Completed
PO-2024-0062,SUP-009,PRD-014,2024-03-12,2024-03-12,442,60.0,60.23,Regular,2024-03-27,Completed
PO-2024-0063,SUP-013,PRD-010,2024-11-20,2024-11-20,180,130.0,131.44,Regular,2024-11-30,Pending
PO-2024-0064,SUP-008,PRD-011,2024-10-15,2024-10-15,430,85.0,107.96,Emergency,2024-10-25,Completed
PO-2024-0065,SUP-005,PRD-010,2024-11-23,2024-11-23,84,130.0,130.85,Regular,2024-12-02,Completed
PO-2024-0066,SUP-004,PRD-010,2024-07-14,2024-07-14,117,130.0,134.24,Regular,2024-07-22,Completed
PO-2024-0067,SUP-014,PRD-022,2024-12-13,2024-12-13,278,30.0,30.09,Regular,2024-12-20,Completed
PO-2024-0068,SUP-004,PRD-007,2024-07-10,2024-07-10,155,135.0,134.68,Regular,2024-07-21,Completed
PO-2024-0069,SUP-006,PRD-002,2024-12-03,2024-12-03,499,120.0,122.39,Regular,2024-12-11,Completed
PO-2024-0070,SUP-013,PRD-020,2024-12-22,2024-12-22,111,95.0,96.17,Regular,2025-01-05,Completed
PO-2024-0071,SUP-011,PRD-006,2024-05-05,2024-05-05,354,110.0,127.28,Regular,2024-06-04,Completed
PO-2024-0072,SUP-007,PRD-009,2024-04-18,2024-04-18,117,155.0,159.53,Regular,2024-04-26,Completed
PO-2024-0073,SUP-004,PRD-016,2024-05-24,2024-05-24,213,90.0,93.1,Regular,2024-06-03,Completed
PO-2024-0074,SUP-008,PRD-013,2024-06-23,2024-06-23,288,75.0,82.4,Regular,2024-07-22,Completed
PO-2024-0075,SUP-002,PRD-007,2024-02-06,2024-02-06,281,135.0,139.89,Regular,2024-02-18,Completed
PO-2024-0076,SUP-015,PRD-021,2024-04-29,2024-04-29,104,35.0,36.2,Regular,2024-05-30,Completed
PO-2024-0077,SUP-013,PRD-023,2024-08-28,2024-08-28,398,25.0,24.8,Regular,2024-09-08,Completed
PO-2024-0078,SUP-013,PRD-028,2024-06-23,2024-06-23,262,95.0,96.76,Regular,2024-07-09,Cancelled
PO-2024-0079,SUP-006,PRD-011,2024-06-10,2024-06-10,265,85.0,88.05,Regular,2024-06-17,Completed
PO-2024-0080,SUP-002,PRD-018,2024-06-19,2024-06-19,277,120.0,117.9,Regular,2024-06-27,Completed
PO-2024-0081,SUP-015,PRD-002,2024-04-07,2024-04-07,461,120.0,121.01,Regular,2024-05-04,Completed
PO-2024-0082,SUP-011,PRD-002,2024-10-08,2024-10-08,419,120.0,138.07,Regular,2024-11-05,Completed
PO-2024-0083,SUP-014,PRD-018,2024-01-19,2024-01-19,360,120.0,119.14,Regular,2024-01-29,Completed
PO-2024-0084,SUP-010,PRD-024,2024-05-20,2024-05-20,59,40.0,41.04,Regular,2024-05-27,Cancelled
PO-2024-0085,SUP-015,PRD-012,2024-08-08,2024-08-08,278,55.0,56.27,Regular,2024-09-06,Completed
PO-2024-0086,SUP-001,PRD-021,2024-06-29,2024-06-29,328,35.0,35.65,Regular,2024-07-07,Completed
PO-2024-0087,SUP-004,PRD-014,2024-10-13,2024-10-13,251,60.0,60.0,Regular,2024-10-23,Completed
PO-2024-0088,SUP-005,PRD-028,2024-02-18,2024-02-18,417,95.0,96.19,Regular,2024-02-25,Completed
PO-2024-0089,SUP-007,PRD-020,2024-11-08,2024-11-08,377,95.0,95.0,Regular,2024-11-15,Completed
PO-2024-0090,SUP-012,PRD-029,2024-01-29,2024-01-29,368,220.0,221.3,Regular,2024-02-04,Completed
PO-2024-0091,SUP-007,PRD-026,2024-11-17,2024-11-17,358,38.0,37.64,Regular,2024-11-25,Completed
PO-2024-0092,SUP-008,PRD-008,2024-11-25,2024-11-25,332,210.0,229.25,Regular,2024-12-19,Completed
PO-2024-0093,SUP-005,PRD-030,2024-11-14,2024-11-14,223,185.0,186.09,Regular,2024-11-22,Completed
PO-2024-0094,SUP-004,PRD-029,2024-07-25,2024-07-25,360,220.0,247.14,Rush,2024-07-31,Completed
PO-2024-0095,SUP-008,PRD-002,2024-04-27,2024-04-27,475,120.0,133.71,Regular,2024-05-24,Completed
PO-2024-0096,SUP-012,PRD-013,2024-10-15,2024-10-15,68,75.0,76.56,Regular,2024-10-25,Completed
PO-2024-0097,SUP-009,PRD-012,2024-12-29,2024-12-29,167,55.0,56.51,Regular,2025-01-09,Completed
PO-2024-0098,SUP-001,PRD-001,2024-04-05,2024-04-05,463,45.0,45.2,Regular,2024-04-12,Completed
PO-2024-0099,SUP-003,PRD-021,2024-05-17,2024-05-17,444,35.0,43.23,Rush,2024-06-08,Completed
PO-2024-0100,SUP-004,PRD-002,2024-03-10,2024-03-10,454,120.0,124.0,Regular,2024-03-20,Completed
PO-2024-0101,SUP-004,PRD-018,2024-04-23,2024-04-23,405,120.0,117.88,Regular,2024-04-29,Completed
PO-2024-0102,SUP-001,PRD-024,2024-12-10,2024-12-10,231,40.0,40.22,Regular,2024-12-15,Completed
PO-2024-0103,SUP-013,PRD-007,2024-07-27,2024-07-27,165,135.0,135.0,Regular,2024-08-09,Completed
PO-2024-0104,SUP-004,PRD-005,2024-10-19,2024-10-19,345,180.0,177.64,Regular,2024-10-30,Completed
PO-2024-0105,SUP-006,PRD-030,2024-09-21,2024-09-21,446,185.0,185.15,Regular,2024-10-03,Cancelled
PO-2024-0106,SUP-006,PRD-010,2024-04-29,2024-04-29,102,130.0,129.57,Regular,2024-05-09,Completed
PO-2024-0107,SUP-010,PRD-011,2024-04-18,2024-04-18,223,85.0,98.65,Rush,2024-04-27,Completed
PO-2024-0108,SUP-003,PRD-028,2024-10-14,2024-10-14,189,95.0,110.53,Regular,2024-11-08,Completed
PO-2024-0109,SUP-006,PRD-010,2024-01-28,2024-01-28,87,130.0,134.79,Regular,2024-02-05,Completed
PO-2024-0110,SUP-008,PRD-022,2024-10-08,2024-10-08,497,30.0,32.51,Regular,2024-11-03,Completed
PO-2024-0111,SUP-012,PRD-025,2024-01-18,2024-01-18,276,28.0,28.39,Regular,2024-01-27,Pending
PO-2024-0112,SUP-006,PRD-021,2024-02-21,2024-02-21,125,35.0,35.4,Regular,2024-02-28,Cancelled
PO-2024-0113,SUP-013,PRD-007,2024-01-26,2024-01-26,54,135.0,135.33,Regular,2024-02-11,Completed
PO-2024-0114,SUP-014,PRD-029,2024-07-12,2024-07-12,308,220.0,218.65,Regular,2024-07-22,Completed
PO-2024-0115,SUP-015,PRD-001,2024-04-05,2024-04-05,496,45.0,45.17,Regular,2024-05-04,Completed
PO-2024-0116,SUP-009,PRD-027,2024-01-25,2024-01-25,404,55.0,55.89,Regular,2024-02-08,Completed
PO-2024-0117,SUP-013,PRD-001,2024-03-03,2024-03-03,61,45.0,50.16,Rush,2024-03-16,Completed
PO-2024-0118,SUP-003,PRD-008,2024-10-01,2024-10-01,83,210.0,237.64,Regular,2024-10-26,Completed
PO-2024-0119,SUP-002,PRD-019,2024-05-17,2024-05-17,243,80.0,79.99,Regular,2024-05-26,Completed
PO-2024-0120,SUP-012,PRD-017,2024-10-10,2024-10-10,145,105.0,104.33,Regular,2024-10-15,Completed
PO-2024-0121,SUP-003,PRD-019,2024-01-15,2024-01-15,150,80.0,92.37,Regular,2024-02-06,Completed
PO-2024-0122,SUP-001,PRD-010,2024-06-17,2024-06-17,93,130.0,131.69,Regular,2024-06-27,Completed
PO-2024-0123,SUP-002,PRD-023,2024-12-05,2024-12-05,57,25.0,24.97,Regular,2024-12-18,Completed
PO-2024-0124,SUP-008,PRD-002,2024-06-02,2024-06-02,460,120.0,134.0,Regular,2024-06-26,Completed
PO-2024-0125,SUP-012,PRD-030,2024-02-23,2024-02-23,402,185.0,186.92,Regular,2024-03-03,Completed
